abundance	exp_mass	formula	class	group	C	H	O	N	S	P	Cl	neutral_mass	theor_mass	err_ppm	AE_ppm	NM	KM	KMD	DBE	O_C	H_C	DBEO	max_LA	actual_LA	rule_13	max_H	H_test	normalization		round_norm
5318961	153.0193639	C7H6O4	O4	CHO	7	6	4	0	0	0	0	154.0266404	153.0193322	0.205667728	0.205667728	153	152.8485011	0.151498882	5	0.571428571	0.857142857	1	11.84820067	11	0.928411014	16	0.375	2.8288E-05	1.634116511	2
11109782	153.0557109	C8H10O3	O3	CHO	8	10	3	0	0	0	0	154.0629873	153.0557177	-0.044416428	0.044416428	153	152.8848075	0.115192483	4	0.375	1.25	1	11.85099955	11	0.928191749	18	0.555555556	5.90856E-05	3.413200096	3
6711804	153.0920999	C9H14O2	O2	CHO	9	14	2	0	0	0	0	154.0993763	153.0921032	-0.021831255	0.021831255	153	152.9211559	0.078844132	3	0.222222222	1.555555556	1	11.85379844	11	0.927972587	20	0.7	3.56956E-05	2.062032366	2
4004973	154.0509765	C7H9NO3	NO3	CHNO	7	9	3	1	0	0	0	155.0582529	154.0509667	0.062848547	0.062848547	154	153.8789618	0.121038242	4	0.428571429	1.285714286	1	11.92755717	11	0.922234104	16	0.5625	2.12998E-05	1.230426864	1
5539355	155.034994	C7H8O4	O4	CHO	7	8	4	0	0	0	0	156.0422705	155.0349823	0.075176624	0.075176624	155	154.8618806	0.138119436	4	0.571428571	1.142857143	0	12.00325067	11	0.916418419	16	0.5	2.94602E-05	1.701827004	2
6999936	155.071365	C8H12O3	O3	CHO	8	12	3	0	0	0	0	156.0786415	155.0713678	-0.017878912	0.017878912	155	154.8982109	0.101789064	3	0.375	1.5	0	12.00604956	11	0.916204781	18	0.666666667	3.7228E-05	2.15055365	2
4207589	155.107731	C9H16O2	O2	CHO	9	16	2	0	0	0	0	156.1150074	155.1077533	-0.142918748	0.142918748	155	154.9345363	0.065463687	2	0.222222222	1.777777778	0	12.00884844	11	0.915991242	20	0.8	2.23774E-05	1.292675516	1
3634602	156.0124276	C6H7NO2S	NO2S	CHNOS	6	7	2	1	1	0	0	157.019704	156.0124728	-0.287599172	0.287599172	156	155.8382227	0.161777276	4	0.333333333	1.166666667	2	12.07844225	10	0.827921333	14	0.5	1.933E-05	1.116639723	1
6885580	157.0506261	C7H10O4	O4	CHO	7	10	4	0	0	0	0	158.0579026	157.0506324	-0.039332725	0.039332725	157	156.875262	0.124737993	3	0.571428571	1.428571429	-1	12.15830068	11	0.904731697	16	0.625	3.66198E-05	2.115420655	2
7078191	157.0870111	C8H14O3	O3	CHO	8	14	3	0	0	0	0	158.0942876	157.0870179	-0.042620778	0.042620778	157	156.9116064	0.088393637	2	0.375	1.75	-1	12.16109956	11	0.904523472	18	0.777777778	3.76442E-05	2.174595523	2
