abundance	exp_mass	formula	class	group	C	H	O	N	S	P	Cl	neutral_mass	theor_mass	err_ppm	AE_ppm	NM	KM	KMD	DBE	O_C	H_C	DBEO	max_LA	actual_LA	rule_13	max_H	H_test	normalization		round_norm
3999497	255.1828315	C12H24N4O2	N4O2	CHNO	12	24	2	4	0	0	0	256.1901079	255.1826496	0.709890374	0.709890374	255	254.897892	0.102107975	3	0.166666667	2	1	19.70691739	18	0.913384861	26	0.923076923	9.38979E-06	1.21256809	1
3924249	257.0301592	C10H10O8	O8	CHO	10	10	8	0	0	0	0	258.0374356	257.0302908	-0.510253408	0.510253408	257	256.743157	0.256842991	6	0.8	1	-2	19.84904364	18	0.906844699	22	0.454545455	9.21313E-06	1.189754391	1
50729260	257.0453612	C14H10O5	O5	CHO	14	10	5	0	0	0	0	258.0526376	257.045547	-0.719943718	0.719943718	257	256.758342	0.241657952	10	0.357142857	0.714285714	5	19.85021719	19	0.957168369	30	0.333333333	0.000119099	15.38010453	15
71258464	257.0817622	C15H14O4	O4	CHO	15	14	4	0	0	0	0	258.0890387	257.0819325	-0.659674124	0.659674124	257	256.7947024	0.205297563	9	0.266666667	0.933333333	5	19.85301607	19	0.957033427	32	0.4375	0.000167297	21.60415163	22
5910928	257.1143253	C11H18N2O5	N2O5	CHNO	11	18	5	2	0	0	0	258.1216017	257.1142952	0.116267169	0.116267169	257	256.8272291	0.172770893	4	0.454545455	1.636363636	-1	19.85550552	18	0.906549571	24	0.75	1.38773E-05	1.792076023	2
4967501	259.024636	C13H8O6	O6	CHO	13	8	6	0	0	0	0	260.0319125	259.0248115	-0.674887742	0.674887742	259	258.7354068	0.264593178	10	0.461538462	0.615384615	4	20.00246831	19	0.94988277	28	0.285714286	1.16624E-05	1.506047686	2
4635756	259.0458901	C10H12O8	O8	CHO	10	12	8	0	0	0	0	260.0531665	259.0459409	-0.195516517	0.195516517	259	258.7566371	0.243362891	5	0.8	1.2	-3	20.00409364	18	0.899815824	22	0.545454545	1.08836E-05	1.405469188	1
7695490	259.0610151	C14H12O5	O5	CHO	14	12	5	0	0	0	0	260.0682915	259.061197	-0.699676438	0.699676438	259	258.7717452	0.228254765	9	0.357142857	0.857142857	4	20.00526719	19	0.949749874	30	0.4	1.8067E-05	2.333119793	2
6216887	259.0974871	C15H16O4	O4	CHO	15	16	4	0	0	0	0	260.1047636	259.0975825	-0.36690937	0.36690937	259	258.8081765	0.191823456	8	0.266666667	1.066666667	4	20.00806608	19	0.949617016	32	0.5	1.45957E-05	1.884836718	2
13240337	261.0558817	C17H10O3	O3	CHO	17	10	3	0	0	0	0	262.0631581	261.0557177	0.625528776	0.625528776	261	260.7643843	0.235615668	13	0.176470588	0.588235294	10	20.15869186	20	0.992127869	36	0.277777778	3.10849E-05	4.014207325	4
4745235	261.0568827	C11H16N2OCl2	N2OCl2	CHNOCl	11	16	1	2	0	0	2	262.0641591	261.0566927	0.72489247	0.72489247	261	260.7653842	0.234615784	4	0.090909091	1.454545455	3	20.15876686	16	0.793699342	24	0.666666667	1.11406E-05	1.438661047	1
4212839	261.1132848	C15H18O4	O4	CHO	15	18	4	0	0	0	0	262.1205612	261.1132326	0.198988118	0.198988118	261	260.8217233	0.178276656	7	0.266666667	1.2	3	20.16311608	19	0.942314666	32	0.5625	9.89066E-06	1.27724915	1
3967145	261.1568949	C10H22N4O4	N4O4	CHNO	10	22	4	4	0	0	0	262.1641713	261.1568288	0.252070972	0.252070972	261	260.8652847	0.134715269	2	0.4	2.2	-2	20.16646963	18	0.892570704	22	1	9.31384E-06	1.202759606	1
5254734	262.1084926	C14H17NO4	NO4	CHNO	14	17	4	1	0	0	0	263.1157691	262.1084816	0.042040515	0.042040515	262	261.81582	0.184180036	7	0.285714286	1.214285714	3	20.2396737	19	0.938750312	30	0.566666667	1.23368E-05	1.593131029	2
7132184	263.0707335	C12H13N4OCl	N4OCl	CHNOCl	12	13	1	4	0	0	1	264.0780099	263.0705126	0.836304972	0.836304972	263	262.7769863	0.223013667	8	0.083333333	1.083333333	7	20.31367608	18	0.886102541	26	0.5	1.67445E-05	2.162336597	2
4854842	263.0926475	C14H16O5	O5	CHO	14	16	5	0	0	0	0	264.099924	263.0924972	0.569238364	0.569238364	263	262.7988759	0.201124095	7	0.357142857	1.142857143	2	20.3153672	19	0.9352526	30	0.533333333	1.13979E-05	1.471891714	1
15389810	263.1289096	C15H20O4	O4	CHO	15	20	4	0	0	0	0	264.136186	263.1288827	0.101837398	0.101837398	263	262.8350975	0.164902517	6	0.266666667	1.333333333	2	20.31816609	19	0.935123767	32	0.625	3.61313E-05	4.665884866	5
