abundance	exp_mass	formula	class	group	C	H	O	N	S	P	Cl	neutral_mass	theor_mass	err_ppm	AE_ppm	NM	KM	KMD	DBE	O_C	H_C	DBEO	max_LA	actual_LA	rule_13	max_H	H_test	normalization		round_norm
7898056	169.0142451	C7H6O5	O5	CHO	7	6	5	0	0	0	0	170.0215216	169.0142469	-0.010143391	0.010143391	169	168.8255223	0.17447769	5	0.714285714	0.857142857	0	13.07857872	12	0.917530892	16	0.375	4.26546E-05	2.475662324	2
23030806	169.0506331	C8H10O4	O4	CHO	8	10	4	0	0	0	0	170.0579096	169.0506324	0.004519786	0.004519786	169	168.8618697	0.138130323	4	0.5	1.25	0	13.0813776	12	0.917334578	18	0.555555556	0.000124381	7.219054754	7
3744814	169.0618391	C7H10N2O3	N2O3	CHNO	7	10	3	2	0	0	0	170.0691156	169.0618657	-0.156550061	0.156550061	169	168.8730632	0.126936836	4	0.428571429	1.428571429	1	13.08224171	12	0.917273986	16	0.625	2.02244E-05	1.173819853	1
16886884	169.0870091	C9H14O3	O3	CHO	9	14	3	0	0	0	0	170.0942856	169.0870179	-0.051372414	0.051372414	169	168.8982051	0.101794942	3	0.333333333	1.555555556	0	13.08417649	12	0.917138347	20	0.7	9.12002E-05	5.293229434	5
6235314	169.1234171	C10H18O2	O2	CHO	10	18	2	0	0	0	0	170.1306936	169.1234034	0.080849992	0.080849992	169	168.9345724	0.065427597	2	0.2	1.8	0	13.08697537	12	0.916942201	22	0.818181818	3.36748E-05	1.954472335	2
12022853	170.0458821	C7H9NO4	NO4	CHNO	7	9	4	1	0	0	0	171.0531585	170.0458813	0.004400084	0.004400084	170	169.8560073	0.143992667	4	0.571428571	1.285714286	0	13.15793521	12	0.911997194	16	0.5625	6.49312E-05	3.768588651	4
4531172	171.012151	C7H8O3S	O3S	CHOS	7	8	3	0	1	0	0	172.0194275	171.0121384	0.073508847	0.073508847	171	170.8211973	0.178802651	4	0.428571429	1.142857143	1	13.23226268	11	0.831301514	16	0.5	2.44713E-05	1.420305428	1
10910727	171.029879	C7H8O5	O5	CHO	7	8	5	0	0	0	0	172.0371555	171.0298969	-0.103875067	0.103875067	171	170.8389056	0.161094447	4	0.714285714	1.142857143	-1	13.23362872	12	0.906780767	16	0.5	5.8925E-05	3.419990408	3
4037669	171.045125	C11H8O2	O2	CHO	11	8	2	0	0	0	0	172.0524015	171.045153	-0.162764896	0.162764896	171	170.8541345	0.145865471	8	0.181818182	0.727272727	6	13.23480227	13	0.982258725	24	0.333333333	2.1806E-05	1.265615871	1
15830095	171.066274	C8H12O4	O4	CHO	8	12	4	0	0	0	0	172.0735505	171.0662824	-0.04868355	0.04868355	171	170.8752599	0.124740087	3	0.5	1.5	-1	13.23642761	12	0.906589025	18	0.666666667	8.54928E-05	4.961976692	5
6392941	171.081531	C12H12O	O	CHO	12	12	1	0	0	0	0	172.0888075	171.0815386	-0.043645324	0.043645324	171	170.8904999	0.109500124	7	0.083333333	1	6	13.23760115	13	0.982051041	26	0.461538462	3.4526E-05	2.003880851	2
4105125	172.0404281	C10H7NO2	NO2	CHNO	10	7	2	1	0	0	0	173.0477046	172.040402	0.150878416	0.150878416	172	171.8483263	0.151673747	8	0.2	0.7	6	13.31135988	13	0.976609461	22	0.318181818	2.21703E-05	1.286760096	1
5290985	172.0767721	C11H11NO	NO	CHNO	11	11	1	1	0	0	0	173.0840486	172.0767875	-0.088957734	0.088957734	172	171.8846297	0.11537033	7	0.090909091	1	6	13.31415877	13	0.976404159	24	0.458333333	2.85748E-05	1.658470416	2
3971769	173.0243951	C10H6O3	O3	CHO	10	6	3	0	0	0	0	174.0316716	173.0244176	-0.129296447	0.129296447	173	172.8311945	0.168805481	8	0.3	0.6	5	13.38705339	13	0.971087484	22	0.272727273	2.14501E-05	1.244959377	1
12630751	173.0455431	C7H10O5	O5	CHO	7	10	5	0	0	0	0	174.0528196	173.045547	-0.022260341	0.022260341	173	172.8523189	0.147681095	3	0.714285714	1.428571429	-2	13.38867873	12	0.896279629	16	0.625	6.82143E-05	3.959135562	4
13556474	173.0607961	C11H10O2	O2	CHO	11	10	2	0	0	0	0	174.0680726	173.0608031	-0.04026015	0.04026015	173	172.8675549	0.132445128	7	0.181818182	0.909090909	5	13.38985227	13	0.970884498	24	0.416666667	7.32138E-05	4.24930539	4
4051727	173.0720691	C10H10N2O	N2O	CHNO	10	10	1	2	0	0	0	174.0793456	173.0720365	0.187266181	0.187266181	173	172.8788153	0.121184715	7	0.1	1	6	13.39071638	13	0.970821846	22	0.454545455	2.1882E-05	1.27002238	1
6783777	173.0819391	C8H14O4	O4	CHO	8	14	4	0	0	0	0	174.0892156	173.0819325	0.038021856	0.038021856	173	172.8886743	0.111325737	2	0.5	1.75	-2	13.39147761	12	0.896092302	18	0.777777778	3.66368E-05	2.12638922	2
15248188	173.0971791	C12H14O	O	CHO	12	14	1	0	0	0	0	174.1044556	173.0971886	-0.054647287	0.054647287	173	172.9038972	0.096102754	6	0.083333333	1.166666667	5	13.39265116	13	0.970681596	26	0.538461538	8.23501E-05	4.779576714	5
4334434	173.1183071	C9H18O3	O3	CHO	9	18	3	0	0	0	0	174.1255836	173.118318	-0.062524608	0.062524608	173	172.9250017	0.074998346	1	0.333333333	2	-2	13.3942765	12	0.895905053	20	0.9	2.34088E-05	1.358637486	1
11657677	174.0560571	C10H9NO2	NO2	CHNO	10	9	2	1	0	0	0	175.0633335	174.0560521	0.02849445	0.02849445	174	173.8617045	0.138295473	7	0.2	0.9	5	13.46640989	13	0.965364942	22	0.409090909	6.2959E-05	3.654123463	4
5097507	175.024829	C6H8O6	O6	CHO	6	8	6	0	0	0	0	176.0321055	175.0248115	0.099476303	0.099476303	175	174.8293948	0.17060524	3	1	1.333333333	-3	13.54092985	12	0.886202066	14	0.571428571	2.75299E-05	1.597824329	2
18659388	175.040058	C10H8O3	O3	CHO	10	8	3	0	0	0	0	176.0473345	175.0400677	-0.05465864	0.05465864	175	174.8446068	0.155393245	7	0.3	0.8	4	13.54210339	13	0.95996904	22	0.363636364	0.000100773	5.848824555	6
8699982	175.051284	C9H8N2O2	N2O2	CHNO	9	8	2	2	0	0	0	176.0585605	175.0513011	-0.096645828	0.096645828	175	174.8558202	0.14417978	7	0.222222222	0.888888889	5	13.5429675	13	0.95990779	20	0.4	4.69856E-05	2.727027722	3
4917342	175.061163	C7H12O5	O5	CHO	7	12	5	0	0	0	0	176.0684395	175.061197	-0.19308006	0.19308006	175	174.8656882	0.134311812	2	0.714285714	1.714285714	-3	13.54372873	12	0.886018927	16	0.75	2.65568E-05	1.541351229	2
27949174	175.076468	C11H12O2	O2	CHO	11	12	2	0	0	0	0	176.0837445	175.0764532	0.084455053	0.084455053	175	174.8809761	0.119023902	6	0.181818182	1.090909091	4	13.54490228	13	0.959770675	24	0.5	0.000150944	8.760727585	9
17279154	175.112838	C12H16O	O	CHO	12	16	1	0	0	0	0	176.1201145	175.1128387	-0.003606442	0.003606442	175	174.9173055	0.082694514	5	0.083333333	1.333333333	4	13.54770116	13	0.959572391	26	0.615384615	9.33187E-05	5.416187294	5
