abundance	exp_mass	formula	class	group	C	H	O	N	S	P	Cl	neutral_mass	theor_mass	err_ppm	AE_ppm	NM	KM	KMD	DBE	O_C	H_C	DBEO	max_LA	actual_LA	rule_13	max_H	H_test	normalization		round_norm
5330000	111.0451175	C6H8O2	O2	CHO	6	8	2	0	0	0	0	112.052394	111.045153	-0.317018186	0.317018186	111	110.9211236	0.078876445	3	0.333333333	1.333333333	1	8.619417654	8	0.928136949	14	0.571428571	1.77E-05	1.669764974	2
3487098	113.0244051	C5H6O3	O3	CHO	5	6	3	0	0	0	0	114.0316816	113.0244176	-0.109679643	0.109679643	113	112.898201	0.101798961	3	0.6	1.2	0	8.771668774	8	0.912027142	12	0.5	1.15953E-05	1.09242666	1
5531770	115.0400607	C5H8O3	O3	CHO	5	8	3	0	0	0	0	116.0473372	115.0400677	-0.059724665	0.059724665	115	114.911606	0.08839402	2	0.6	1.6	-1	8.926718779	8	0.896185956	12	0.666666667	1.83942E-05	1.732974819	2
3192066	119.0017819	C3H5N2OCl	N2OCl	CHNOCl	3	5	1	2	0	0	1	120.0090583	119.0017643	0.146227943	0.146227943	119	118.8689034	0.13109656	2	0.333333333	1.666666667	1	9.231464677	7	0.758276205	8	0.625	1.06142E-05	1	1
3730571	119.050201	C8H8O	O	CHO	8	8	1	0	0	0	0	120.0574774	119.0502384	-0.311890504	0.311890504	119	118.9172685	0.082731537	5	0.125	1	4	9.235193452	9	0.974532915	18	0.444444444	1.24049E-05	1.168701086	1
6973161	121.0295096	C7H6O2	O2	CHO	7	6	2	0	0	0	0	122.036786	121.029503	0.053843955	0.053843955	121	120.8943669	0.105633077	5	0.285714286	0.857142857	3	9.387444572	9	0.958727365	16	0.375	2.31871E-05	2.184529079	2
15566328	121.0658926	C8H10O	O	CHO	8	10	1	0	0	0	0	122.0731691	121.0658885	0.033843176	0.033843176	121	120.9307094	0.069290637	4	0.125	1.25	3	9.390243457	9	0.958441604	18	0.555555556	5.1761E-05	4.876568342	5
7121363	122.0611484	C7H9NO	NO	CHNO	7	9	1	1	0	0	0	123.0684249	122.0611375	0.088999872	0.088999872	122	121.9248538	0.075146151	4	0.142857143	1.285714286	3	9.466801071	9	0.950690728	16	0.5625	2.36799E-05	2.230957317	2
20066850	123.0451572	C7H8O2	O2	CHO	7	8	2	0	0	0	0	124.0524336	123.045153	0.03342937	0.03342937	123	122.9077639	0.092236127	4	0.285714286	1.142857143	2	9.542494577	9	0.943149606	16	0.5	6.67261E-05	6.286477159	6
18318906	123.0815483	C8H12O	O	CHO	8	12	1	0	0	0	0	124.0888247	123.0815386	0.078229523	0.078229523	123	122.9441143	0.055885696	3	0.125	1.5	2	9.545293462	9	0.942873054	18	0.666666667	6.09138E-05	5.738886978	6
