abundance	exp_mass	formula	class	group	C	H	O	N	S	P	Cl	neutral_mass	theor_mass	err_ppm	AE_ppm	NM	KM	KMD	DBE	O_C	H_C	DBEO	max_LA	actual_LA	rule_13	max_H	H_test	normalization		round_norm
4286390	166.0510195	C8H9NO3	NO3	CHNO	8	9	3	1	0	0	0	167.058296	166.0509667	0.316086199	0.316086199	166	165.8656055	0.134394538	5	0.375	1.125	2	12.85063409	12	0.933806061	18	0.5	2.0254E-05	1.269136352	1
3661903	167.0173043	C8H8O2S	O2S	CHOS	8	8	2	0	1	0	0	168.0245808	167.0172238	0.479447814	0.479447814	167	166.8308113	0.169188677	5	0.25	1	3	12.92496156	11	0.851066361	18	0.444444444	1.73031E-05	1.084235036	1
4806774	167.0349883	C8H8O4	O4	CHO	8	8	4	0	0	0	0	168.0422648	167.0349823	0.035950308	0.035950308	167	166.8484756	0.151524427	5	0.5	1	1	12.9263276	12	0.928337914	18	0.444444444	2.27129E-05	1.423214318	1
7368904	167.0713603	C9H12O3	O3	CHO	9	12	3	0	0	0	0	168.0786368	167.0713678	-0.044448281	0.044448281	167	166.884807	0.115193047	4	0.333333333	1.333333333	1	12.92912648	12	0.928136949	20	0.6	3.48194E-05	2.181822919	2
6205721	167.1077433	C10H16O2	O2	CHO	10	16	2	0	0	0	0	168.1150198	167.1077533	-0.059380692	0.059380692	167	166.9211493	0.078850679	3	0.2	1.6	1	12.93192537	12	0.92793607	22	0.727272727	2.93231E-05	1.837421726	2
3782914	168.0302012	C7H7NO4	NO4	CHNO	7	7	4	1	0	0	0	169.0374776	168.0302313	-0.178167849	0.178167849	168	167.8425771	0.157422873	5	0.571428571	1	1	13.00288521	12	0.922872102	16	0.4375	1.78749E-05	1.120064594	1
4753691	168.0416291	C6H7N3O3	N3O3	CHNO	6	7	3	3	0	0	0	169.0489056	168.0414647	0.973022319	0.973022319	168	167.8539924	0.146007636	5	0.5	1.166666667	2	13.00374932	12	0.922810776	14	0.5	2.2462E-05	1.407497231	1
3525968	168.0666211	C8H11NO3	NO3	CHNO	8	11	3	1	0	0	0	169.0738976	168.0666168	0.025852422	0.025852422	168	167.8789565	0.121043547	4	0.375	1.375	1	13.00568409	12	0.922673495	18	0.611111111	1.66608E-05	1.043986703	1
5175587	169.014269	C7H6O5	O5	CHO	7	6	5	0	0	0	0	170.0215454	169.0142469	0.130096968	0.130096968	169	168.8255461	0.174453873	5	0.714285714	0.857142857	0	13.07857872	12	0.917530892	16	0.375	2.44556E-05	1.532414364	2
6437230	169.050619	C8H10O4	O4	CHO	8	10	4	0	0	0	0	170.0578954	169.0506324	-0.078753686	0.078753686	169	168.8618555	0.138144468	4	0.5	1.25	0	13.0813776	12	0.917334578	18	0.555555556	3.04171E-05	1.905968099	2
