G	e	n	o	m	e	_	n	a	m	e			M	o	d	u	l	e	_	i	d			M	o	d	u	l	e	_	n	a	m	e	

A2O.1	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	K07678
A2O.72	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	K07689
A2O.116	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	K07678,K07689
A2O.95	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	K07689
A2O.43	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	K07689
A2O.131	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	K07689
A2O.83	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	K07689
A2O.98	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	K07689
A2O.85	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	K07678
AO.7	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	K07689
A2O.3	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	K07689
A2O.126	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	K07678,K07689
AO.76	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	K07689
AO.50	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	K07689
AO.84	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	K07689
A2O.122	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	K07689
AO.32	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	K07689
A2O.11	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	K07689
A2O.97	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	K07689
AO.10	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	K07689
AO.9	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	K07689
A2O.14	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	K07689
A2O.133	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	K07678,K07689
AO.25	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	K07689
AO.99	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	K07689
A2O.71	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	K07689
A2O.26	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	K07689
A2O.88	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	K07689
A2O.92	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	K07689
A2O.105	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	K07689
AO.94	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	K07689
A2O.103	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	K07678,K07689
AO.46	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	K07689
AO.28	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	K07678,K07689
AO.72	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	K07689
A2O.89	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	K07689
AO.34	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	K07689
A2O.73	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	K07689
A2O.148	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	K07689
A2O.156	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	K07678
AO.71	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	K07678,K07689
AO.20	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	K07678,K07689
AO.78	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	K07689
AO.1	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	K07689
A2O.112	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	K07678,K07689
A2O.107	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	K07678
A2O.140	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	K07689
AO.63	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	K07678
AO.35	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	K07689
A2O.77	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	K07689
A2O.134	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	K07689
A2O.82	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	K07689
A2O.4	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	K07678,K07689
AO.5	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	K07678,K07689
AO.68	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	K07678
A2O.47	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	K07689
AO.69	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	K07678,K07689
A2O.21	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	K07689
A2O.125	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	K07689
AO.73	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	K07678
A2O.49	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	K07678
A2O.123	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	K07678
A2O.132	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	K07689
AO.65	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	K07689
A2O.29	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	K07689
A2O.84	M00475	BarA-UvrY (central carbon metabolism) two-component regulatory system	K07678,K07689
