compound	reaction	type	A2O_abundance	AO_abundance
C08592	R07563	NA	0.012578616352201259	0.01020408163265306
C00028	R07560	NA	0.050314465408805034	0.030612244897959183
C00030	R07560	NA	0.050314465408805034	0.030612244897959183
C02094	R07560	NA	0.050314465408805034	0.030612244897959183
C15943	R07560	NA	0.050314465408805034	0.030612244897959183
C00001	R07561	NA	0.22012578616352202	0.22448979591836735
C00007	R07561	NA	0.22012578616352202	0.22448979591836735
C00080	R07561	NA	0.22012578616352202	0.22448979591836735
C00138	R07561	NA	0.22012578616352202	0.22448979591836735
C00139	R07561	NA	0.22012578616352202	0.22448979591836735
C08592	R07561	NA	0.22012578616352202	0.22448979591836735
C15965	R07561	NA	0.22012578616352202	0.22448979591836735
C00022	R01811	NA	0.0880503144654088	0.07142857142857142
C00270	R01811	NA	0.0880503144654088	0.07142857142857142
C00645	R01811	NA	0.0880503144654088	0.07142857142857142
C00001	R01815	NA	0.006289308176100629	0.0
C00007	R01815	NA	0.006289308176100629	0.0
C00082	R01815	NA	0.006289308176100629	0.0
C00268	R01815	NA	0.006289308176100629	0.0
C00272	R01815	NA	0.006289308176100629	0.0
C00355	R01815	NA	0.006289308176100629	0.0
C00275	R01818	NA	1.0660377358490567	1.0357142857142858
C00636	R01818	NA	1.0660377358490567	1.0357142857142858
C00275	R01819	NA	0.7452830188679245	0.7040816326530612
C05345	R01819	NA	0.7452830188679245	0.7040816326530612
C00009	R00952	NA	0.050314465408805034	0.030612244897959183
C00031	R00952	NA	0.050314465408805034	0.030612244897959183
C00103	R00952	NA	0.050314465408805034	0.030612244897959183
C00185	R00952	NA	0.050314465408805034	0.030612244897959183
C00019	R07232	NA	0.05660377358490566	0.030612244897959183
C00021	R07232	NA	0.05660377358490566	0.030612244897959183
C04154	R07232	NA	0.05660377358490566	0.030612244897959183
C20648	R07232	NA	0.05660377358490566	0.030612244897959183
C00002	R07302	NA	0.09748427672955975	0.08163265306122448
C00008	R07302	NA	0.09748427672955975	0.08163265306122448
C00009	R07302	NA	0.09748427672955975	0.08163265306122448
C03194	R07302	NA	0.09748427672955975	0.08163265306122448
C06507	R07302	NA	0.09748427672955975	0.08163265306122448
C06508	R07302	NA	0.09748427672955975	0.08163265306122448
C00019	R07233	NA	0.018867924528301886	0.01020408163265306
C00021	R07233	NA	0.018867924528301886	0.01020408163265306
C00240	R07233	NA	0.018867924528301886	0.01020408163265306
C04152	R07233	NA	0.018867924528301886	0.01020408163265306
C00001	R05046	NA	0.9591194968553459	0.9336734693877551
C00058	R05046	NA	0.9591194968553459	0.9336734693877551
C05922	R05046	NA	0.9591194968553459	0.9336734693877551
C05923	R05046	NA	0.9591194968553459	0.9336734693877551
C00001	R05049	NA	0.03773584905660377	0.05102040816326531
C00003	R05049	NA	0.03773584905660377	0.05102040816326531
C00004	R05049	NA	0.03773584905660377	0.05102040816326531
C00080	R05049	NA	0.03773584905660377	0.05102040816326531
C05931	R05049	NA	0.03773584905660377	0.05102040816326531
C05932	R05049	NA	0.03773584905660377	0.05102040816326531
C05923	R05048	NA	0.9591194968553459	0.9336734693877551
C06148	R05048	NA	0.9591194968553459	0.9336734693877551
C00001	R02231	NA	0.5408805031446541	0.41836734693877553
C00005	R02231	NA	0.5408805031446541	0.41836734693877553
C00006	R02231	NA	0.5408805031446541	0.41836734693877553
C00007	R02231	NA	0.5408805031446541	0.41836734693877553
C00080	R02231	NA	0.5408805031446541	0.41836734693877553
C00414	R02231	NA	0.5408805031446541	0.41836734693877553
C01880	R02231	NA	0.5408805031446541	0.41836734693877553
C00003	R02235	NA	1.0754716981132075	0.8469387755102041
C00004	R02235	NA	1.0754716981132075	0.8469387755102041
C00080	R02235	NA	1.0754716981132075	0.8469387755102041
C00415	R02235	NA	1.0754716981132075	0.8469387755102041
C00504	R02235	NA	1.0754716981132075	0.8469387755102041
C00002	R02237	NA	0.89937106918239	0.9081632653061225
C00008	R02237	NA	0.89937106918239	0.9081632653061225
C00009	R02237	NA	0.89937106918239	0.9081632653061225
C00025	R02237	NA	0.89937106918239	0.9081632653061225
C00415	R02237	NA	0.89937106918239	0.9081632653061225
C00921	R02237	NA	0.89937106918239	0.9081632653061225
C00005	R02236	NA	1.0754716981132075	0.8469387755102041
C00006	R02236	NA	1.0754716981132075	0.8469387755102041
C00080	R02236	NA	1.0754716981132075	0.8469387755102041
C00415	R02236	NA	1.0754716981132075	0.8469387755102041
C00504	R02236	NA	1.0754716981132075	0.8469387755102041
C00144	R05223	NA	0.12578616352201258	0.12244897959183673
C00194	R05223	NA	0.12578616352201258	0.12244897959183673
C05775	R05223	NA	0.12578616352201258	0.12244897959183673
C06510	R05223	NA	0.12578616352201258	0.12244897959183673
C00013	R05222	NA	0.11320754716981132	0.08163265306122448
C00044	R05222	NA	0.11320754716981132	0.08163265306122448
C06509	R05222	NA	0.11320754716981132	0.08163265306122448
C06510	R05222	NA	0.11320754716981132	0.08163265306122448
