L3	A2O.1	A2O.72	A2O.116	A2O.95	A2O.43	A2O.131	A2O.83	A2O.98	A2O.85	AO.7	A2O.3	A2O.126	AO.76	AO.50	AO.84	A2O.122	AO.32	A2O.11	A2O.97	AO.10	AO.9	A2O.14	A2O.133	AO.25	AO.99	A2O.71	A2O.26	A2O.88	A2O.92	A2O.105	AO.94	A2O.103	AO.46	AO.28	AO.72	A2O.89	AO.34	A2O.73	A2O.148	A2O.156	AO.71	AO.20	AO.78	AO.1	A2O.112	A2O.107	A2O.140	AO.63	AO.35	A2O.77	A2O.134	A2O.82	A2O.4	AO.5	AO.68	A2O.47	AO.69	A2O.21	A2O.125	AO.73	A2O.49	A2O.123	A2O.132	AO.65	A2O.29	A2O.84	A2O.19	A2O.58	AO.15	A2O.8	A2O.28	AO.90	A2O.50	AO.95	AO.16	A2O.67	AO.54	A2O.13	A2O.158	A2O.65	AO.74	A2O.90	A2O.20	A2O.147	A2O.127	A2O.78	AO.33	AO.53	A2O.157	A2O.33	A2O.119	A2O.22	A2O.15	A2O.34	A2O.155	AO.97	A2O.44	AO.17	A2O.70	AO.82	AO.75	AO.83	A2O.76	A2O.159	A2O.113	A2O.81	AO.85	A2O.114	A2O.117	A2O.128	A2O.27	A2O.120	AO.14	AO.27	A2O.54	A2O.124	A2O.118	A2O.45	A2O.102	AO.92	AO.64	AO.2	A2O.144	A2O.151	A2O.51	A2O.130	AO.89	A2O.69	A2O.136	A2O.61	AO.26	A2O.106	AO.39	A2O.53	A2O.48	A2O.6	AO.86	A2O.93	A2O.18	A2O.40	AO.57	A2O.142	AO.38	AO.77	AO.12	A2O.56	A2O.35	A2O.12	AO.67	A2O.17	AO.36	AO.18	A2O.91	AO.3	A2O.68	AO.59	A2O.129	AO.43	A2O.32	A2O.86	A2O.108	A2O.57	AO.49	AO.40	A2O.52	A2O.16	A2O.135	AO.22	A2O.99	A2O.36	AO.91	A2O.111	AO.24	A2O.100	AO.61	AO.62	A2O.94	AO.58	A2O.38	A2O.143	AO.56	A2O.139	A2O.30	A2O.9	A2O.24	A2O.31	A2O.46	A2O.74	A2O.42	A2O.25	AO.23	AO.29	AO.41	A2O.138	AO.80	A2O.146	A2O.41	AO.8	AO.79	AO.93	AO.51	AO.21	A2O.145	A2O.79	A2O.149	A2O.121	AO.13	A2O.104	A2O.5	A2O.39	A2O.62	A2O.60	A2O.109	AO.42	A2O.115	AO.55	A2O.66	A2O.152	A2O.101	AO.44	AO.52	AO.30	AO.88	AO.45	A2O.137	A2O.7	AO.4	A2O.87	A2O.96	AO.66	A2O.64	A2O.80	A2O.75	A2O.23	AO.87	AO.6	AO.48	A2O.55	AO.81	AO.11	A2O.10	A2O.110	A2O.63	AO.60	A2O.37	A2O.141	A2O.2	AO.19	AO.98	A2O.59	A2O.153	A2O.150	AO.37	AO.70	AO.96	AO.31	A2O.154
Cysteine and methionine metabolism	0.020926419	0.02255016	0.017366598	0.01833	0.038652981	0.036372394	0.022785307	0.014546043	0.035949213	0.027396082	0.030613809	0.023573921	0.037847538	0.018430747	0.012845511	0.020893785	0.021616239	0.018321681	0.022082387	0.018633368	0.016122802	0.019781472	0.017120765	0.012442577	0.018354076	0.015357766	0.034564271	0.017590008	0.024691509	0.014455016	0.023404752	0.005443164	0.021211909	0.015728726	0.021209443	0.019405698	0.007223365	0.020419624	0.022945225	0.023946745	0.021346939	0.015568884	0.033996363	0.020213501	0.016938372	0.016999327	0.021862661	0.038318742	0.0156752	0.030621452	0.018792039	0.02437374	0.03237352	0.018903119	0.035130632	0.019536954	0.02037719	0.018514096	0.028802517	0.019172621	0.035366811	0.023333355	0.013357115	0.031733897	0.010407366	0.015704536	0.029787034	0.025075868	0.036483288	0.012843113	0.01460892	0.020550339	0.023117778	0.014732796	0.041932998	0.021018337	0.02523196	0.019814306	0.011219983	0.029971614	0.018893961	0.016227646	0.034216896	0.017692778	0.01131469	0.035363523	0.014911137	0.022699234	0.019977595	0.007180896	0.0160437	0.013355416	0.021918165	0.021550978	0.024482537	0.026800209	0.029574966	0.028573297	0.026170899	0.018339324	0.04062115	0.016665609	0.020314452	0.023757812	0.012220695	0.024129675	0.029036138	0.014102591	0.02208892	0.033292345	0.026704449	0.008919091	0.015621967	0.027200266	0.025697035	0.0071986	0.015117123	0.018136008	0.0229292	0.01591497	0.016475521	0.015235546	0.02417102	0.01020254	0.015571275	0.018958285	0.012949413	0.023350652	0.021371025	0.007545068	0.024630485	0.026383631	0.009053388	0.01415017	0.011246206	0.013803729	0.021472436	0	0.015564637	0.019164834	0.021104772	0.033870968	0.013289467	0.019850311	0.010827996	0.025436911	0.024363432	0.01831275	0.029616954	0.026902634	0.015456764	0.015124944	0.020953032	0.011512005	0.022891107	0.0168497	0.019937909	0.021616662	0.030905022	0.023589005	0.021784404	0.020459981	0.020215083	0.026056409	0.019174855	0.014536287	0.029209204	0.033342115	0.032432608	0.026950156	0.026959805	0.022727751	0.034077817	0.033473445	0.012528509	0.022624648	0.028951997	0.023395516	0.023614838	0.01944992	0.0099169	0.029626253	0.023886031	0.019092112	0.015891861	0.017061019	0.024069739	0.024783663	0.020822925	0.022454382	0.029142128	0	0.024311333	0.023234479	0.020761588	0.008505658	0.022211477	0.011223345	0.028769611	0.034159086	0.034178897	0.026059715	0.015335431	0.031525027	0	0.032705563	0.031050473	0.027935494	0.035502669	0.024728068	0.026570529	0.0201652	0.014744396	0.022454642	0.027298709	0.032118191	0.026672205	0.031390883	0.016899875	0	0.041492479	0.033504477	0.012465913	0.029450497	0	0	0	0.041671785	0.02649148	0.010951318	0.018615371	0.014670952	0	0	0.01078498	0.021718137	0.006615708	0.018471531	0.009194463	0.029427549	0.052677788	0	0.021829522	0	0.029330875	0.025180023	0.033690177	0.045577156	0.018572274	0.011603786	0.03657521	0.014433057	0.024602528	0	0.025690885	0.01437913	0
Drug resistance	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003664585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Enediyne biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008328037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.009690537	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fatty acid metabolism	0.037109517	0.012885806	0.103207209	0.016749827	0.031819305	0.039353738	0.06233222	0.067064915	0.027029483	0.030094181	0.034865727	0.033946446	0.02773311	0.04941577	0.036395616	0.038305272	0.045484169	0.032965146	0.030243269	0.023957188	0.027039283	0.047805223	0.069374765	0.03732773	0.023598098	0.024316463	0.043948236	0.044341478	0.029100707	0.030114616	0.063324545	0.061235598	0.061675932	0.038652507	0.051256155	0.019166122	0.035876047	0.038043704	0.027117084	0.039844936	0.084167929	0.024218265	0.039008647	0.031097694	0.029037209	0.034725669	0.03721304	0.045705487	0.02978288	0.032563071	0.053844074	0.063281451	0.048691879	0.015752599	0.025635867	0.038422675	0.034174246	0.023803837	0.035253081	0.023597073	0.025808214	0.03585862	0.067889471	0.031733897	0.031742467	0.024429278	0.031592309	0.085815193	0.044450902	0.031572653	0.068607817	0.086898576	0.026790696	0.022917682	0.027038246	0.024521393	0.02523196	0.028532601	0.122399813	0.054392929	0.02153158	0.054014877	0.030795206	0.017692778	0.011786135	0.065202444	0.036390276	0.028374043	0.033771649	0.035665115	0.036098325	0.041179198	0.060630769	0.037765523	0.042817944	0.055514718	0.068821607	0.060589159	0.062582585	0.055983198	0.07021656	0.010416006	0.036114582	0.00913762	0.088600036	0.047021931	0.067170267	0.080586233	0.031292637	0.088779587	0.038951662	0.04013591	0.009112814	0.034523414	0.054820342	0.039249507	0.015117123	0.03551635	0.023378792	0.028753938	0.029766697	0.045706637	0.047015004	0.082405134	0.036203213	0.045824883	0.037337475	0.06075935	0.030869258	0.026407739	0.083515044	0.050347599	0.086007188	0.026916084	0.013179147	0.032208701	0.048125523	0.026074799	0.015564637	0.044599308	0.061793251	0.036129032	0.03388814	0.053341348	0.083916969	0.079666655	0.025796576	0.041712376	0.039037966	0.038313061	0.025761273	0.018125925	0.023828938	0.027341012	0.057501584	0.029008641	0.038371931	0.0494301	0.037856204	0.051466921	0.043672544	0.071789406	0.075497146	0.052299602	0.049580698	0.066705404	0.06099569	0.012734836	0.067726917	0.049653065	0.058113358	0.042930196	0.04543709	0.018369574	0.046981909	0.039970211	0.029871108	0.037172875	0.037521354	0.025933227	0.034827209	0.051656032	0.038952604	0.028588449	0.036224096	0.026269859	0.113510703	0.067380584	0.059345336	0.026731407	0.023128673	0.016427105	0.068071732	0.055762749	0.041523176	0.062374824	0.007403826	0.031051253	0.110652351	0.083465639	0.083514046	0.069023029	0.020447241	0.032502547	0.010079245	0.086407291	0.058298847	0.051215073	0.043472656	0.024728068	0.077580261	0.04425141	0.077408076	0.071509397	0.067904684	0.010706064	0.078327952	0.048442721	0.042418687	0	0.062723695	0.054890313	0.038644331	0	0	0	0	0.028121368	0	0.073921399	0.037230742	0.039367053	0.077931196	0	0.072798618	0.058949229	0.030432257	0.036943063	0.048730653	0.056350626	0	0	0	0	0.064108913	0.029976218	0.034813183	0.030756829	0.048287912	0.097665199	0.027431408	0.035842092	0.03280337	0	0.025690885	0.017254956	0
Glycan biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glycosaminoglycan metabolism	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.010410046	0	0.038113708	0	0	0	0	0.037542429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.029475194	0	0	0	0	0	0	0.008915021	0.037869741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006119991	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005395106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004845429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00369998	0	0	0	0	0	0	0	0.010561127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Histidine metabolism	0.008370568	0.006442903	0.005670726	0.007374138	0.006406571	0.010732838	0.005499902	0.007655812	0.012163268	0.009339573	0.010204603	0	0.006525438	0.008585752	0.006422756	0.006964595	0.00540406	0.004164018	0.006720727	0.005081828	0.007053726	0.008006786	0.005350239	0.004977031	0.005005657	0.015357766	0.004691982	0.005235121	0.010582075	0.007227508	0.005673879	0.010886329	0.007410993	0.00803169	0.010604722	0.010062214	0.007223365	0.012124152	0.005959799	0.008033253	0.006099125	0.006672379	0.009806643	0.006219539	0.004839535	0.004490388	0.005426902	0.005540059	0.0078376	0.004803365	0.004270918	0.007944034	0.00394799	0.008101337	0.005696859	0.007442649	0.017830041	0.005049299	0.010500918	0.008258975	0.005735159	0.005454551	0.006623363	0	0.005203683	0.006730515	0.009477693	0.005572415	0.012580444	0.006421557	0.006492853	0.005871525	0.006913728	0.006314055	0.005692262	0.007662935	0.024390895	0.0142663	0.004079994	0.008880478	0.009689211	0.01081843	0.007896207	0.008846389	0.009428908	0.013032394	0.013047245	0.017024426	0.009988797	0.007180896	0.012032775	0.010016562	0.005313495	0.006157422	0.011128426	0.005742902	0.010689747	0.010327698	0.005689326	0.005791365	0.005803021	0	0.009028645	0.00456881	0.006110347	0.007424515	0.005807228	0.004029312	0.013805575	0.007008915	0.006445902	0.019622	0.007810983	0.011159083	0.006852543	0	0.019436301	0.012090672	0.006743882	0.009361747	0.009691483	0.007617773	0.011374598	0.009716705	0.015571275	0.007583314	0.006474707	0.011119358	0.007123675	0.009431335	0.008849276	0.009771715	0.004526694	0.008613147	0	0.006901865	0.008179976	0.004740872	0.020011677	0.007665934	0.011407985	0.007969639	0.006644733	0.015778452	0.005413998	0.009379904	0.011465145	0.00610425	0.008461987	0.006493739	0.007728382	0.006722197	0.00986025	0.007195003	0.004600127	0.006665815	0.006380131	0.008646665	0.009137704	0.005718547	0.007261468	0.01107608	0.012453935	0.00915243	0.007669942	0.009690858	0.012886413	0.004630849	0.012877653	0.006416704	0.005991068	0.011363876	0.00801831	0.004898553	0.012528509	0.007541549	0.006893333	0.007798505	0.007871613	0.006483307	0.018594188	0.00911577	0.007349548	0.016407284	0.004674077	0.00369998	0.005470395	0.012779076	0.010411463	0.006415538	0.008673252	0.008213552	0.0072934	0.014081502	0.010380794	0	0.006346136	0.011223345	0.014938067	0.00927396	0.009279338	0.014086332	0.007667715	0.005131981	0.010079245	0.011305627	0.01013893	0.004655916	0.017389063	0.011539765	0.006820243	0.006721733	0.010531711	0.010363681	0.004789247	0.010706064	0.007274238	0.005813127	0.005633292	0	0.00808295	0.007128612	0.006232957	0	0	0	0	0.007937483	0.01324574	0.005475659	0	0.007335476	0.005566514	0	0.00539249	0.006205182	0.006615708	0.006157177	0.009194463	0.007513417	0	0	0	0	0.006285188	0.010491676	0.008422544	0.008681363	0.007428909	0.005801893	0.006857852	0.009622038	0.008200843	0	0	0	0.027470869
Lipid metabolism	0.035156385	0.016107257	0.01984754	0.016328448	0.012813143	0.01431045	0.041249263	0.018986414	0.028831449	0.018679147	0.018141517	0.015087309	0.024470391	0.018030078	0.006422756	0.020893785	0.037828418	0.019432086	0.017921937	0.018633368	0.018809936	0.024397148	0.021400956	0.017419607	0.018354076	0.017917394	0.017203936	0.021071364	0.025132429	0.016864185	0.021986282	0.022679851	0.014064418	0.024128535	0.010604722	0.010780943	0.016854519	0.023397486	0.014775334	0.032133013	0.012198251	0.024218265	0.016344405	0.006219539	0.024358992	0.017961553	0.032173774	0.033240354	0.0235128	0.010480069	0.027049148	0.027081933	0.025661936	0.028354679	0.013292672	0.015195408	0.008915021	0.018514096	0.016001399	0.023597073	0.015293756	0.031111141	0.027155788	0.019833686	0.015611049	0.022684329	0.041070001	0.01114483	0.018451318	0.029967264	0.05843568	0.011743051	0.013827456	0.022917682	0.017076787	0.018391045	0.01261598	0.016908208	0.022439966	0.019981076	0.009689211	0.027818821	0.026320689	0.020641574	0.009428908	0.019123622	0.014911137	0.022226333	0.013318397	0.016755423	0.0213916	0.015581318	0.025571193	0.016419793	0.023369694	0.027278784	0.017816244	0.017212829	0.071116574	0.027508985	0.025146426	0.032984019	0.006771484	0.028935797	0.057029908	0.018561289	0.038714851	0.06581209	0.00552223	0.051398708	0.012891803	0.020811213	0.018225628	0.016738625	0.029694352	0.023995332	0.015117123	0.018136008	0.010790212	0.019893713	0.015748659	0.076177729	0.034123793	0.025506351	0.007785637	0.014218714	0.015107649	0.04077098	0.01424735	0.017605159	0.026842804	0.020520602	0.080726045	0.010766434	0.011714797	0.013803729	0.016359951	0.021333926	0.015564637	0.014373626	0.03517462	0.007969639	0.015504378	0.024431152	0.035190987	0.010505493	0.022930289	0.070198876	0.006769589	0.012987478	0.007728382	0.01260412	0.021363876	0.032617348	0.032814237	0.022466266	0.027115557	0.012969997	0.035245431	0.032881644	0.022389527	0.028715762	0.025990821	0.037263467	0.019558353	0.025842287	0.01932962	0.024697863	0.018601055	0.027805716	0.040339857	0.010101223	0.00801831	0.021227063	0.021924891	0.007541549	0.013786665	0.015597011	0.015743226	0.015127716	0.02479225	0.027347311	0.007349548	0.017898855	0.029991993	0.01294993	0.066738823	0.016264279	0.020822925	0.0171081	0.013877204	0.019164956	0.025526899	0.011265202	0.024654385	0.059539605	0.019038409	0.022446689	0.014938067	0.02782188	0.027838015	0.016434054	0.035782672	0.020100259	0.02015849	0.038762149	0.012673662	0.027935494	0.01391125	0.016485379	0.02387085	0.028567366	0.018676234	0.018654625	0.035121146	0.010706064	0.025459832	0.014532816	0.016899875	0	0.012932721	0.021385836	0.006232957	0	0	0	0	0.018520793	0.02649148	0.031941345	0.037230742	0.022006427	0.033399084	0	0.031456193	0.035576377	0.006615708	0.00820957	0.027583389	0.028801431	0	0	0	0	0.034568531	0.023781133	0.016845089	0.011575151	0.03962085	0.033360885	0.013715704	0.014433057	0.016401685	0	0	0.028758259	0
Lipopolysaccharide metabolism	0.017936931	0.02255016	0.010632611	0	0.020020536	0.015332625	0	0.005359069	0	0.022948666	0.014578004	0.016973223	0	0.012821389	0.012845511	0.022634933	0	0.017350077	0.026562872	0.016092454	0.027627093	0.012500791	0.012038038	0.005806536	0.015851248	0.023036649	0.014857944	0.011451828	0	0.021682523	0.004255409	0.016329493	0.013175099	0.007466962	0.021209443	0	0.022573016	0.010209812	0.011472612	0.019279808	0.018297376	0.020109809	0.022064947	0.020990944	0.00967907	0.009542075	0	0	0.0244925	0.012281331	0.013422885	0.009629132	0.008553979	0.023313847	0.019532089	0	0.018944419	0.015989446	0.019716009	0.017697804	0.019663401	0.013333346	0.004967522	0.017453644	0.010407366	0.013087113	0.018955385	0.016717245	0.017612622	0	0	0.017614576	0.011018754	0.019029861	0.020871628	0.018391045	0.016821307	0.020606878	0	0.014652789	0	0.009935293	0.024675646	0.021231333	0.028286725	0.008499388	0.023609301	0.012160304	0.020809995	0.022440299	0.017189679	0.020867837	0.003985121	0	0.013990021	0.01804912	0.010689747	0.010327698	0.017067978	0.018201434	0.023212086	0	0.015235839	0	0	0.014849031	0	0	0.01656669	0.01401783	0.019337705	0.017838182	0.02343295	0.030687479	0.014561653	0.02262417	0.022675685	0.034112968	0.016859706	0	0	0	0.005687299	0	0.030586432	0	0.020233458	0.011119358	0.022388693	0.025222085	0.014380074	0.016489769	0	0	0	0.021568327	0	0	0.023346956	0	0.011407985	0.023908918	0.020764792	0.019086837	0	0.008754577	0	0	0.021154967	0.019481218	0.017388859	0.016385356	0	0	0	0.016201634	0	0	0	0.017972575	0	0.008614729	0.008663607	0.005491458	0.012052766	0.005814515	0.012370957	0	0.012591483	0.020052199	0	0.023810025	0.026345876	0	0.006264255	0.023567342	0.021541664	0.028269582	0.028534596	0.021070747	0.025972833	0	0.022967337	0.020633402	0	0	0	0.0147153	0	0.021812828	0.021683131	0.01026694	0.022922114	0.013201408	0.005190397	0	0.021894171	0.033670034	0	0	0	0	0.030305733	0.018817264	0.02015849	0	0.017236181	0	0.019514392	0.031596976	0	0.022853893	0.009829597	0.010363681	0.009578494	0.028549503	0	0.02117639	0.010864205	0	0.009237658	0.025128357	0.012465913	0	0	0	0	0.015874966	0.02649148	0	0.055846113	0.022006427	0	0	0	0	0.006615708	0.018471531	0.027583389	0.023479428	0	0	0	0	0	0.032454252	0.026470854	0.017362726	0	0	0.023659589	0.030068869	0.024602528	0	0	0.031634085	0
Lysine metabolism	0.016741136	0.030818552	0.027455764	0.01790862	0.029477855	0.034464334	0.023832908	0.028785854	0.017298869	0.038514622	0.033578003	0.034889403	0.02610175	0.033121922	0.025691023	0.050319198	0.033370069	0.027522179	0.035283814	0.030273174	0.037032061	0.019561678	0.021995427	0.020737628	0.029819415	0.030715532	0.012120955	0.016979244	0.02116415	0	0.02802491	0.005443164	0.01634124	0.017920708	0.031814165	0.010780943	0.02889346	0.026800756	0.024162017	0.041094553	0.025074182	0.020758512	0.030455075	0.036228814	0.027316486	0.022451941	0.022431194	0.022067902	0.0313504	0.027884469	0.027310148	0.019097778	0.024828472	0.025204159	0.022787437	0.030824971	0.031584645	0.030079394	0.036817504	0.011798536	0.022940634	0.019762645	0.014902567	0.033811712	0.020814732	0.020939381	0.047388463	0.022846902	0.023539409	0.020548981	0.02153463	0.024138493	0.029599398	0.019643728	0	0.037044818	0.02523196	0.027898543	0.012822838	0.026641435	0.009689211	0.00463647	0.031584827	0.035385555	0.037715633	0.038098842	0.029822275	0.022699234	0.03064024	0.028723583	0.033233379	0.035057966	0.02570403	0.02852939	0.020884346	0.026854903	0.035157389	0.034942044	0.026604372	0.027081527	0.029015107	0	0.027085936	0.005482572	0.024441389	0.031554191	0.031842965	0.016564948	0.029780598	0.028035659	0.034071194	0.026757273	0.017184163	0.041846563	0.041979982	0.021595799	0.010078082	0.045340021	0.021580423	0.036778293	0.038073682	0.049134635	0	0.015696216	0.030493746	0.02906937	0.03399221	0.022238716	0.021371025	0.030180273	0.029213146	0.030726615	0.018106777	0.027274966	0.015814977	0.027607458	0.017450615	0.009481745	0.010376425	0.029386079	0.023449747	0	0.033223666	0.032945699	0.022257547	0.026086556	0.018344232	0.024417	0.020308768	0.03432405	0.007728382	0.020166592	0.022349901	0.02158501	0.024110505	0.024848678	0.026477544	0.018446218	0.023136702	0.026604858	0.027178638	0.022613663	0.018410165	0.0182709	0.023524476	0.014536287	0.006872754	0.020375737	0.007631202	0.025666815	0.023964271	0.036490667	0.038888803	0.004898553	0	0.030166197	0.020679998	0.031194021	0.031486451	0.006483307	0.042560029	0	0.034236644	0.035996586	0.014022231	0.015857057	0.021881581	0.021729962	0.04164585	0.006415538	0.020815806	0	0	0.021263068	0	0.025516974	0.026291137	0	0.031820455	0.021690762	0.021703342	0.021129499	0.037462267	0.026197541	0.010079245	0.028425576	0.029410944	0.017847677	0.029993833	0.034148284	0.020119716	0.038033807	0.011058297	0.022800098	0.02634086	0	0.021459001	0.005813127	0.023708111	0	0.029663145	0.037679807	0.024931826	0	0	0	0	0.045697223	0.01324574	0.026039801	0	0.007335476	0.026471867	0	0.025644287	0.024820728	0.026462832	0.038721803	0.009194463	0.04078712	0	0	0	0	0.02514075	0.04406504	0	0.044316291	0.007428909	0.027704039	0.032174755	0	0.047701567	0	0	0.01437913	0.027470869
Macrolide biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Methane metabolism	0.008370568	0	0.004961885	0.010745172	0.012813143	0.01431045	0	0.004593487	0.010811793	0.006226382	0	0	0.016313594	0.004006684	0	0.006964595	0	0.012492055	0.006720727	0.011010627	0.007053726	0.003709026	0.010700478	0.004977031	0.010845591	0	0	0.00732917	0.013227594	0.007227508	0.008510819	0	0.004034874	0.004099508	0	0.011893263	0	0.005104906	0.010429648	0	0	0.005189628	0.013075524	0.006219539	0.012098837	0.011225971	0.00930326	0	0.0078376	0.005502036	0	0	0	0	0	0.013024636	0.008915021	0.010940147	0.006000524	0.011798536	0	0.008484857	0.005204071	0.023800423	0.005203683	0.005234845	0	0	0	0.006421557	0.006492853	0	0.020741184	0.004910932	0	0.018391045	0.008410653	0.02113526	0.004079994	0	0.013918628	0.00463647	0.007896207	0	0.01131469	0.005099633	0.007455569	0.005674809	0	0	0	0.006677708	0.007970242	0.012314845	0	0.012634384	0	0	0	0.012741004	0	0.012152007	0	0.00913762	0.006110347	0	0	0.00503664	0.01104446	0	0	0.008919091	0	0.008369313	0	0.017996499	0	0.009068004	0.005395106	0.004680874	0.004845741	0	0	0.008632919	0.007785637	0.007583314	0	0	0	0.007545068	0.005309566	0	0.005658368	0.005742098	0.021203783	0	0	0.005689047	0	0.007665934	0	0	0	0.006107788	0.006767497	0.004377289	0.012284084	0.00610425	0.006769589	0	0	0.005881923	0.012677465	0.005756003	0	0.01814583	0.007018144	0	0	0.01829935	0.003630734	0.008614729	0.008663607	0.00392247	0	0.009690858	0.005154565	0.009261699	0.005723401	0	0	0	0	0.009797106	0	0	0.006893333	0	0	0	0.008264083	0.00911577	0	0.005966285	0.00545309	0.013566594	0.006837994	0.009293874	0	0	0.006938602	0	0	0.004224451	0.005190397	0.008505658	0	0	0	0	0	0	0	0.005131981	0.012599056	0.004845269	0	0	0	0	0	0	0.017201795	0.016581889	0	0	0	0	0.005069963	0	0	0	0.006232957	0	0	0	0	0	0	0.005475659	0	0	0.005566514	0	0.00539249	0	0.006615708	0	0	0	0	0	0.021829522	0	0	0	0.008422544	0	0	0.005801893	0	0	0	0	0	0.01437913	0
